matrix_row,scenario_index,filename,config_797,config_1135,config_1146,config_1163,mean_cost,
11,2,H_O1_n1_3p.jl,164,164,164,164,164,ok
8,11,H_O1_n3_4p.jl,132,132,132,132,132,not ok
1,14,H_O1_n4_3p.jl,164,164,164,164,164,not ok
3,16,H_O1_n4_5p.jl,115,115,115,115,115,not ok
12,22,H_O2_n1_3p.jl,1503,1503,1503,1503,1503,ok
6,24,H_O2_n1_5p.jl,1288,1288,1288,1288,1288,ok
4,26,H_O2_n2_3p.jl,1492,1492,1492,1492,1492,not ok
5,28,H_O2_n2_5p.jl,1012,1012,1012,1012,1012,not ok
7,29,H_O2_n3_2p.jl,2207,2207,2207,2207,2207,not ok
9,32,H_O2_n3_5p.jl,1012,1012,1012,1012,1012,not ok
2,51,H_O3_n3_4p.jl,350,350,350,350,350,not ok
10,55,H_O3_n4_4p.jl,350,350,350,350,350,not ok
